datetime,aggregate,fridge,tv,washing_machine
2014-07-21 10:30:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:31:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:32:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:33:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:34:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:35:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:36:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:37:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:38:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:39:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:40:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:41:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:42:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:43:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:44:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:45:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:46:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:47:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:48:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:49:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:50:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:51:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:52:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:53:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:54:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:55:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:56:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:57:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:58:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 10:59:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:00:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:01:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:02:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:03:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:04:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:05:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:06:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:07:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:08:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:09:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:10:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:11:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:12:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:13:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:14:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:15:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:16:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:17:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:18:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:19:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:20:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:21:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:22:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:23:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:24:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:25:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:26:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:27:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:28:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:29:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:30:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:31:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:32:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:33:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:34:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:35:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:36:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:37:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:38:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:39:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:40:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:41:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:42:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:43:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:44:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:45:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:46:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:47:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:48:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:49:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:50:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:51:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:52:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:53:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:54:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:55:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:56:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:57:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:58:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 11:59:00+00:00,0.0,0.0,0.0,0.0
2014-07-21 12:00:00+00:00,0.0,0.0,0.0,0.0
